control_item,control_type,characteristic,method,sample_size_frequency,phase_i_descriptive_window,approved_action_limit,limit_basis,current_evidence,owner_role,reaction_plan,record,current_status,data_label,generation_model_version
Gripping force CTQ,Product output,measured_force_n,FORCE-SENSOR-01 under EOL-FORCE-01-V5,Every finished unit,N/A — specification-governed,10.00 to 14.00 N inclusive; target 12.00 N,Demonstration product specification from generation_config.json,0 of 200 After units out of specification,Quality Inspector,Segregate any nonconforming unit; stop release; confirm test setup; create NCR; investigate process inputs before restart.,MES EOL inspection record,PASS_SAMPLE_ONLY,Synthetic Data,EOL-EG-V5
Motor current,Process input,motor_current_a,PLC/current trace,Every cycle,1.562 to 2.333 A,TBD,"Phase I descriptive window (After sample mean +/- 3 sample SD, clipped to synthetic bounds); not an action limit and not an engineering tolerance",Window and its 0/200 inside-count derive from the same After sample; not independent evidence for a control action limit,Process Engineer,Hold affected unit/lot; verify measurement; restore standard setting; investigate assignable cause; release only after recheck. Maintain: Closed-loop current recipe and deviation alarm.,MES quality/process parameter record,PROVISIONAL,Synthetic Data,EOL-EG-V5
Jaw alignment error,Process input,jaw_alignment_error_mm,Alignment gauge,First-off and every 20 units,0.020 to 0.358 mm,TBD,"Phase I descriptive window (After sample mean +/- 3 sample SD, clipped to synthetic bounds); not an action limit and not an engineering tolerance",Window and its 0/200 inside-count derive from the same After sample; not independent evidence for a control action limit,Production Supervisor,Hold affected unit/lot; verify measurement; restore standard setting; investigate assignable cause; release only after recheck. Maintain: Alignment poka-yoke fixture and first-off confirmation.,MES quality/process parameter record,PROVISIONAL,Synthetic Data,EOL-EG-V5
Gear backlash,Process input,gear_backlash_deg,Backlash fixture,5 units per incoming lot,0.150 to 0.835 degree,TBD,"Phase I descriptive window (After sample mean +/- 3 sample SD, clipped to synthetic bounds); not an action limit and not an engineering tolerance",Window and its 0/200 inside-count derive from the same After sample; not independent evidence for a control action limit,Incoming Quality,Hold affected unit/lot; verify measurement; restore standard setting; investigate assignable cause; release only after recheck. Maintain: Incoming backlash screening and lot containment.,MES quality/process parameter record,PROVISIONAL,Synthetic Data,EOL-EG-V5
Pad thickness,Process input,pad_thickness_mm,Digital micrometer,5 units per incoming lot,2.829 to 3.174 mm,TBD,"Phase I descriptive window (After sample mean +/- 3 sample SD, clipped to synthetic bounds); not an action limit and not an engineering tolerance",Window and its 0/200 inside-count derive from the same After sample; not independent evidence for a control action limit,Incoming Quality,Hold affected unit/lot; verify measurement; restore standard setting; investigate assignable cause; release only after recheck. Maintain: Incoming thickness screening and lot traceability.,MES quality/process parameter record,PROVISIONAL,Synthetic Data,EOL-EG-V5
Fastener torque,Process input,fastener_torque_nm,Program-controlled torque tool,Every assembly,2.256 to 2.735 N*m,TBD,"Phase I descriptive window (After sample mean +/- 3 sample SD, clipped to synthetic bounds); not an action limit and not an engineering tolerance",Window and its 0/200 inside-count derive from the same After sample; not independent evidence for a control action limit,Production Supervisor,Hold affected unit/lot; verify measurement; restore standard setting; investigate assignable cause; release only after recheck. Maintain: Program-controlled torque screwdriver with result logging.,MES quality/process parameter record,PROVISIONAL,Synthetic Data,EOL-EG-V5
Sensor zero offset,Measurement system,sensor_zero_offset_n,Pre-cycle zero check,Before each shift and after fixture/sensor disturbance,-0.12 to 0.12 N,TBD,Synthetic measurement-model bounds; real calibration limit not established,Recorded for every synthetic observation,Quality Technician,Stop measurement; inspect fixture and sensor; zero/calibrate using approved standard; repeat affected measurements.,Calibration/zero-check log,PROVISIONAL,Synthetic Data,EOL-EG-V5
I-MR stability,Statistical process control,measured_force_n in chronological order,Phase I retrospective I-MR; Phase II prospective screen pending a stable Phase I,Phase I: this 200-unit window; Phase II (once established): review every shift,I: 10.373 to 13.638 N; MR UCL 2.005 N,TBD,Phase I trial limits from the After sample; Phase II status NOT_ESTABLISHED,"MR alarms: AF-118, AF-158; Phase I in control: False",Quality Engineer,Contain production since last accepted point; verify measurement; stratify by shift/operator/batch; remove special cause; recalculate only after stability review.,SPC review log and CAPA,ACTION_REQUIRED,Synthetic Data,EOL-EG-V5
Process capability,Performance review,Ppk,Rolling descriptive Ppk after stability acceptance,Monthly and after material/tool/process change; minimum 200 units,After Ppk = 1.293,TBD,Project reference criterion Ppk >= 1.33; not a customer-approved requirement,After Ppk = 1.293; Phase I in control: False,Quality Engineer,Do not release a capability claim; address stability alarms; review centering and factor variation; repeat capability study.,Monthly capability review,PROVISIONAL,Synthetic Data,EOL-EG-V5
Gage R&R,Measurement system review,%Tolerance and ndc,Crossed Gage R&R ANOVA,Quarterly and after device/fixture/appraiser/protocol change,%Tolerance = 11.56%; ndc = 14,TBD,"Common project screening guidance (<= 10% pass, 10-30% conditional, > 30% unacceptable, ndc >= 5); customer/industry acceptance must supersede",%Tolerance = 11.56%; ndc = 14,Measurement System Owner,"For conditional result, review appraiser bias, fixture repeatability and calibration; document intended use before acceptance.",MSA study record,CONDITIONAL,Synthetic Data,EOL-EG-V5
