dataset,field_name,data_type,unit,definition,analysis_role,generation_reference,data_label
quality_baseline.csv,record_id,Text,,Unique EOL inspection record ID across the combined dataset.,input_or_metadata,generation_config.json + generate_quality_data.py; record_id,Synthetic Data
quality_baseline.csv,sample_index,Integer,,Sequential sample number within each process stage; not a matched-pair identifier.,input_or_metadata,generation_config.json + generate_quality_data.py; sample_index,Synthetic Data
quality_baseline.csv,part_id,Text,,Unique assembled electric-gripper ID; Before and After are independent production cohorts.,input_or_metadata,generation_config.json + generate_quality_data.py; part_id,Synthetic Data
quality_baseline.csv,measurement_timestamp_sgt,Datetime,ISO 8601 UTC+08:00,Synthetic timezone-aware inspection timestamp.,input_or_metadata,generation_config.json + generate_quality_data.py; measurement_timestamp_sgt,Synthetic Data
quality_baseline.csv,production_date_sgt,Date,YYYY-MM-DD,Shift-start production date; remains fixed when a Night sample passes midnight.,input_or_metadata,generation_config.json + generate_quality_data.py; production_date_sgt,Synthetic Data
quality_baseline.csv,batch_id,Text,,Synthetic component batch ID; one batch covers both shifts of one production date.,input_or_metadata,generation_config.json + generate_quality_data.py; batch_id,Synthetic Data
quality_baseline.csv,process_stage,Text,,Before Improvement or After Improvement.,input_or_metadata,generation_config.json + generate_quality_data.py; process_stage,Synthetic Data
quality_baseline.csv,shift,Text,,Configured Day or Night production shift.,input_or_metadata,generation_config.json + generate_quality_data.py; shift,Synthetic Data
quality_baseline.csv,assembly_operator_id,Text,,Assembly/setup attribution; not attendance evidence and not the measurement appraiser.,input_or_metadata,generation_config.json + generate_quality_data.py; assembly_operator_id,Synthetic Data
quality_baseline.csv,appraiser_id,Text,,Synthetic person performing the force measurement.,input_or_metadata,generation_config.json + generate_quality_data.py; appraiser_id,Synthetic Data
quality_baseline.csv,improvement_plan_id,Text,,NOT-APPLIED for baseline; IMP-EG-01 for the encoded After intervention package.,input_or_metadata,generation_config.json + generate_quality_data.py; improvement_plan_id,Synthetic Data
quality_baseline.csv,improvement_actions,Text,,"Stage-level intervention description; actions are assumed, not physically verified.",input_or_metadata,generation_config.json + generate_quality_data.py; improvement_actions,Synthetic Data
quality_baseline.csv,source_system,Text,,Explicit synthetic origin; not a real MES export.,input_or_metadata,generation_config.json + generate_quality_data.py; source_system,Synthetic Data
quality_baseline.csv,motor_current_a,Numeric,A,Motor current under the stage-specific model; rejection-sampled bounded normal.,input_or_metadata,generation_config.json + generate_quality_data.py; motor_current_a,Synthetic Data
quality_baseline.csv,jaw_alignment_error_mm,Numeric,mm,Post-assembly jaw alignment error; rejection-sampled bounded normal.,input_or_metadata,generation_config.json + generate_quality_data.py; jaw_alignment_error_mm,Synthetic Data
quality_baseline.csv,gear_backlash_deg,Numeric,degree,Assumed transmission backlash; rejection-sampled bounded normal.,input_or_metadata,generation_config.json + generate_quality_data.py; gear_backlash_deg,Synthetic Data
quality_baseline.csv,pad_thickness_mm,Numeric,mm,Installed jaw-pad thickness; rejection-sampled bounded normal.,input_or_metadata,generation_config.json + generate_quality_data.py; pad_thickness_mm,Synthetic Data
quality_baseline.csv,fastener_torque_nm,Numeric,N*m,Assumed critical fastener torque; rejection-sampled bounded normal.,input_or_metadata,generation_config.json + generate_quality_data.py; fastener_torque_nm,Synthetic Data
quality_baseline.csv,sensor_zero_offset_n,Numeric,N,Synthetic pre-cycle zero residual generated by the shared measurement model.,input_or_metadata,generation_config.json + generate_quality_data.py; sensor_zero_offset_n,Synthetic Data
quality_baseline.csv,measured_force_n,Numeric,N,Single full-cycle load-cell reading quantized to the configured device resolution.,outcome_or_derived,generation_config.json + generate_quality_data.py; measured_force_n,Synthetic Data
quality_baseline.csv,target_n,Numeric,N,Demonstration target from configuration; not a validated product requirement.,input_or_metadata,generation_config.json + generate_quality_data.py; target_n,Synthetic Data
quality_baseline.csv,lsl_n,Numeric,N,Inclusive demonstration lower specification limit from configuration.,input_or_metadata,generation_config.json + generate_quality_data.py; lsl_n,Synthetic Data
quality_baseline.csv,usl_n,Numeric,N,Inclusive demonstration upper specification limit from configuration.,input_or_metadata,generation_config.json + generate_quality_data.py; usl_n,Synthetic Data
