msa_record_id,measurement_order,measurement_timestamp_sgt,part_id,source_baseline_record_id,source_process_stage,appraiser_id,replicate,reference_force_n,reference_kind,measured_force_n,measurement_error_n,sensor_zero_offset_n,device_id,protocol_id,test_block_id,test_block_diameter_mm,closing_speed_mm_s,hold_time_s,contact_distance_from_jaw_root_mm,device_resolution_n,ctq,data_label,generation_model_version,study_design,synthetic_seed
MSA-001,1,2026-08-17T08:00:00+08:00,EG-B-155,BL-155,Before Improvement,APP-C,1,11.934089,Synthetic latent truth; not a measurement,11.94,0.005911,0.007,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-002,2,2026-08-17T08:03:00+08:00,EG-B-192,BL-192,Before Improvement,APP-A,1,11.893139,Synthetic latent truth; not a measurement,11.79,-0.103139,-0.034,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-003,3,2026-08-17T08:06:00+08:00,EG-B-192,BL-192,Before Improvement,APP-A,2,11.893139,Synthetic latent truth; not a measurement,11.93,0.036861,0.082,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-004,4,2026-08-17T08:09:00+08:00,EG-B-146,BL-146,Before Improvement,APP-B,1,11.190409,Synthetic latent truth; not a measurement,11.21,0.019591,-0.027,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-005,5,2026-08-17T08:12:00+08:00,EG-B-002,BL-002,Before Improvement,APP-C,2,12.883949,Synthetic latent truth; not a measurement,12.72,-0.163949,-0.078,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-006,6,2026-08-17T08:15:00+08:00,EG-B-015,BL-015,Before Improvement,APP-A,1,12.245564,Synthetic latent truth; not a measurement,12.22,-0.025564,0.032,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-007,7,2026-08-17T08:18:00+08:00,EG-B-015,BL-015,Before Improvement,APP-C,2,12.245564,Synthetic latent truth; not a measurement,12.26,0.014436,0.072,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-008,8,2026-08-17T08:21:00+08:00,EG-B-015,BL-015,Before Improvement,APP-C,1,12.245564,Synthetic latent truth; not a measurement,12.17,-0.075564,-0.004,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-009,9,2026-08-17T08:24:00+08:00,EG-B-143,BL-143,Before Improvement,APP-B,2,10.828805,Synthetic latent truth; not a measurement,10.89,0.061195,-0.009,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-010,10,2026-08-17T08:27:00+08:00,EG-B-014,BL-014,Before Improvement,APP-C,2,11.391426,Synthetic latent truth; not a measurement,11.37,-0.021426,0.071,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
MSA-011,11,2026-08-17T08:30:00+08:00,EG-B-015,BL-015,Before Improvement,APP-A,2,12.245564,Synthetic latent truth; not a measurement,12.23,-0.015564,-0.025,FORCE-SENSOR-01,EOL-FORCE-01-V5,TB-30-01,30.0,20.0,1.0,20.0,0.01,Gripping Force,Synthetic Data,EOL-EG-V5,10 source grippers x 3 appraisers x 2 full-cycle repeats; fully randomized,2026090704
