chart_file,chart_title,source_data,interpretation,generation_model_version,data_label
01_force_run_chart.png,Gripping Force in Production Sequence,quality_before_after.csv,"After is centered nearer 12 N; After MR alarms: AF-118, AF-158.",EOL-EG-V5,Synthetic Data
02_force_distribution.png,After Distribution Narrows Around the Target,quality_before_after.csv,Observed SD falls from 0.769 N to 0.514 N with unchanged hidden residual SD.,EOL-EG-V5,Synthetic Data
03_force_boxplot.png,Force Spread and Outliers by Improvement Stage,quality_before_after.csv,Before has 3 out-of-spec observation(s); After has 0 in this 200-piece sample.,EOL-EG-V5,Synthetic Data
04_imr_before.png,Before Improvement I–MR Stability Screen,quality_before_after.csv + validation_report.json,MR point-rule alarms: BL-049.,EOL-EG-V5,Synthetic Data
05_imr_after.png,After Improvement I–MR Stability Screen,quality_before_after.csv + validation_report.json,"MR point-rule alarms: AF-118, AF-158; do not claim a stable process yet.",EOL-EG-V5,Synthetic Data
06_capability_comparison.png,"Capability Improves, but MR-Based Cp/Cpk Remain Provisional",validation_report.json,Ppk changes from 0.720 to 1.293 under the standard 6-sigma definition.,EOL-EG-V5,Synthetic Data
07_process_factor_distributions.png,Observable Process Factors Encode the After Improvement,quality_before_after.csv + generation_config.json,"Reduced variation is tied to recorded current, alignment, backlash, pad thickness and torque factors; hidden residual SD is unchanged.",EOL-EG-V5,Synthetic Data
08_msa_variance_components.png,MSA Variance Is Dominated by Part-to-Part Differences,quality_msa.csv + validation_report.json,"Gage R&R is 11.56% of tolerance with ndc 14; classification CONDITIONAL (conditional, not unconditional acceptance).",EOL-EG-V5,Synthetic Data
09_msa_part_appraiser.png,Appraiser Profiles Across the Crossed MSA Parts,quality_msa.csv,Parallel appraiser profiles indicate small synthetic appraiser effects relative to part-to-part spread; the latent reference is not a real calibration standard.,EOL-EG-V5,Synthetic Data
10_improvement_summary.png,V5 Improvement Summary,validation_report.json,Mean moves 0.331 N toward target and observed SD falls 33.2% in the synthetic scenario.,EOL-EG-V5,Synthetic Data
11_root_cause_contribution.png,Alignment and Backlash Explain Most of the Modeled Mean Shift,root_cause_analysis.csv + generation_config.json,Signed contributions decompose the response-model shift; they do not establish real-world physical causation.,EOL-EG-V5,Synthetic Data
12_control_plan_readiness.png,Control Phase Is Not Yet Closed,control_plan.csv + validation_report.json,"2 After point-rule alarm(s); Ppk below 1.33; Gage R&R CONDITIONAL. Open blockers: I-MR stability, Ppk reference, Gage R&R CONDITIONAL.",EOL-EG-V5,Synthetic Data
